순번;제목;저자명;출판사;isbn여부;ISBN;한줄소개
1;오늘도 파랑새를 찾았다;윤슬;인디펍;Y;9791167565198;"여자 나이 스물을 보내고
두 번째 스물은 육아와 아이들 입시로 함께한 후
대한민국 보통의 중년여성으로
자신의 세 번째 스물을 스스로 준비하며
좌충우돌 재밌고 행복하게 살아가려고
노력하는 이야기입니다."
2;채소로 채소를 키워요;나나용;나나용북스;Y;9791198275257;"요즘 채솟값이 참 많이 올랐죠?
대파 한 단에 5~6000원 하는 요즘이에요. 마트에서 별것도 안샀는데 결제 금액이 쭉쭉- 올라가는 걸 보고 나니, 채소만큼은 제가 길러야겠다 싶더라고요!
그렇게 시작한 10년이상 경력의 식집사 생활로 터득한 채소 키우기 노하우, 여러분께도 알려드려요! 더욱 자세하게 알려드리기 위해, 직접 글을 쓰고 귀여운 그림을 그렸어요.
귀엽지만 상세한 그림과 함께 채소를 기르는 법을 따라해보세요. 이 책만 있다면, 채소를 쉽게 기르고 수확할 거예요!"
3;개다운 하루;나나용;나나용북스;Y;9791198275240;"도대체 강아지는 무슨 생각을 할까?
생각보다 많은 생각을 하는 우리 강아지!
그러면서도 먹을 생각뿐인 우리 강아지!"
4;나도 별이 되겠지;나나용;나나용북스;Y;9791198275226;그림책 『나도 별이 되겠지』는 사랑과 그리움에 관한 이야기를 들려드려요. 별이 된 엄마를 찾던 한 소녀와 외로운 별 하나가 우연히 만나게 되지요. 둘은 우연히 만났지만, 서로 살아갈 희망이 되어줘요. 별은 아이에게 삶에 대한 희망을, 그리고 아이는 별에게 캄캄한 우주 속에서 계속 떠 있을 힘을 주지요. 여러분도 이 소녀처럼 그리운 사람이 있나요? 그렇다면, 이 그림책을 통해 내 마음속에 존재하는 아픔을 치유하고 아름다운 그리움과 사랑만을 남기세요.
5;엎지른 물이 내 마음에 담긴다;나나용;나나용북스;Y;9791198275202;상처를 받은 사람에게는 주로 해답을 제시하거나 위로의 말을 전하곤 한다. 누군가에게 들은 말로 인한 상처나, 뜻하지 않게 겪은 큰 아픔이 위로나 명확한 해답으로 치유될 수 있다면 얼마나 좋겠냐 싶지만, 모두가 삶을 살아내는 방식이 다르기에 삶이 던지는 문제를 풀어내는 일이 그리 단순하지는 않다.
6;마음상담소;김신애;도서출판 씨네피아;Y;9791198259301;"맨홀에 빠져 하수구를 만나 비행하고 싶은 청소년에게
쓰는 김신애 상담전문가의
4춘기 비법서 + 청소년 필독서 + 어른이 참고서"
7;도쿄플래시;이해린;-;N;-;여행 에세이 겸 이별 에세이 입니다. 제가 600일 넘게 사귄 남자 친구와 도쿄 여행을 가기로 했습니다. 성격 차이로 도쿄에 가기 일주일 전에 헤어지게 됩니다.
8;매미가 울지 않는 여름;이해린;인디펍;Y;9791167564962;"‘사진 보정 앱에서 보정한 대로 얼굴이 변한다면?’
‘보드게임 모임에서 만난 여자 친구가 알고 보니 사이비였다면?’
일상에 공포 한 스푼을 담은 소설 <매미가 울지 않는 여름> !"
9;스물넷, 찬란한 처음;윤채원;하모니북;Y;9791167471635;너만 불안한 것이 아니라는 다정한 위로' 이 책에서 스물넷은 처음을 지나는 나이의 상징입니다. 처음을 맞는 이들에게 필요한 위로란 우리의 고민이 같다는 공감과 연민이리라 믿습니다. 그렇게 직업이 다른 사회초년생 10인 인터뷰집이 시작되었습니다.
10;잠언;유영;인디펍;Y;9791167561282;"나태와 방황은 이 책을 관통하는 키워드입니다.
타인과 함께하는 웃음소리가 커질수록
내면은 침울해졌고, 공허에 잠식되었습니다.
처음 잠언이라는 제목을 떠올리며 생각했던 책의 형태는
나태와 방황 속에서 전혀 다른 방향으로 흘러갔습니다.
어른의 지위, 자유를 누리며 손에서 펜을 놓는 시간은 점점 늘어 갔습니다.
정신없이 지내는 동안 본질과 멀어지고 있었습니다."
11;차라투스트라여, 그대 춤추는 한낮이여;김선욱;아하하 아트컴퍼니;Y;9791198105998;"한 낮을 건너가는 청춘들의 덜컹거리는 계절
늘 가랑비처럼 가만히 슬픔에 젖어있는 청춘의 욕망과 인간의 나약함
소설은 끊임없이 욕망하고 좌절하는 청춘들의 단 면을 끈질기게 관찰하고, 상실 앞에 놓인 거대한 슬픔 앞에서 우리는 어떻게 살 것인가, 질문 한다."
